SYMBOL	STAN	EOREOR
795711001773	0,000	EOREOR
4084900550748	0,000	EOREOR
795711963637	0,000	EOREOR
795711107710	0,000	EOREOR
795711413170	0,000	EOREOR
795711413194	0,000	EOREOR
795711413200	1,000	EOREOR
795711002275	1,000	EOREOR
795711002367	0,000	EOREOR
886661015276	3,000	EOREOR
886661015283	1,000	EOREOR
795711002534	1,000	EOREOR
795711914622	0,000	EOREOR
795711002909	1,000	EOREOR
795711002930	2,000	EOREOR
795711120771	5,000	EOREOR
795711120788	2,000	EOREOR
795711120795	4,000	EOREOR
795711003135	1,000	EOREOR
795711003258	2,000	EOREOR
795711003357	0,000	EOREOR
886661362400	1,000	EOREOR
795711003470	4,000	EOREOR
795711003494	0,000	EOREOR
795711083137	19,000	EOREOR
795711150099	1,000	EOREOR
795711150105	2,000	EOREOR
795711150129	0,000	EOREOR
795711329259	1,000	EOREOR
795711333041	2,000	EOREOR
795711333058	1,000	EOREOR
795711878894	0,000	EOREOR
886661362394	1,000	EOREOR
795711162702	19,000	EOREOR
	0,000	EOREOR
886661396276	27,000	EOREOR
7957114231482	1,000	EOREOR
795711379421	2,000	EOREOR
795711878863	1,000	EOREOR
	0,000	EOREOR
886661187263	0,000	EOREOR
886661552849	1,000	EOREOR
886661187270	0,000	EOREOR
886661552832	1,000	EOREOR
886661105991	1,000	EOREOR
886661106011	3,000	EOREOR
886661195169	2,000	EOREOR
795711132170	5,000	EOREOR
886661139392	7,000	EOREOR
886661476138	1,000	EOREOR
795711161477	0,000	EOREOR
795711399931	6,000	EOREOR
886661958290	1,000	EOREOR
795711414986	1,000	EOREOR
795711415051	0,000	EOREOR
795711415082	0,000	EOREOR
795711419929	0,000	EOREOR
	0,000	EOREOR
795711941369	1,000	EOREOR
795711192839	0,000	EOREOR
00047364	0,000	EOREOR
795711340988	0,000	EOREOR
795711399764	1,000	EOREOR
795711007324	0,000	EOREOR
886661927579	1,000	EOREOR
886661927616	9,000	EOREOR
886661927739	9,000	EOREOR
886661927746	5,000	EOREOR
886661927753	7,000	EOREOR
886661927760	8,000	EOREOR
795711090364	0,000	EOREOR
795711120849	0,000	EOREOR
795711419950	0,000	EOREOR
795711936631	0,000	EOREOR
886661919192	1,000	EOREOR
886661920150	1,000	EOREOR
886661920938	1,000	EOREOR
886661921331	12,000	EOREOR
886661921355	1,000	EOREOR
886661921362	2,000	EOREOR
886661921751	1,000	EOREOR
886661921768	0,000	EOREOR
795711944742	2,000	EOREOR
795711979881	2,000	EOREOR
795711090395	0,000	EOREOR
886661450282	6,000	EOREOR
886661450299	2,000	EOREOR
886661928095	6,000	EOREOR
886661928101	4,000	EOREOR
886661928118	1,000	EOREOR
886661928125	3,000	EOREOR
886661695393	3,000	EOREOR
886661009121	0,000	EOREOR
886661009114	0,000	EOREOR
795711008666	5,000	EOREOR
795711159634	0,000	EOREOR
795711400064	0,000	EOREOR
795711008949	1,000	EOREOR
795711008963	0,000	EOREOR
795711301842	1,000	EOREOR
795711329235	3,000	EOREOR
795711010546	0,000	EOREOR
795711319250	0,000	EOREOR
795711319267	0,000	EOREOR
795711319274	0,000	EOREOR
886661927562	4,000	EOREOR
866615431996	0,000	EOREOR
886661858958	1,000	EOREOR
886661858965	1,000	EOREOR
886661919147	7,000	EOREOR
886661919154	5,000	EOREOR
886661940899	0,000	EOREOR
886661940929	0,000	EOREOR
	0,000	EOREOR
886661940943	2,000	EOREOR
886661940950	0,000	EOREOR
886661940981	2,000	EOREOR
795711155582	6,000	EOREOR
00176439	3,000	EOREOR
795711255220	8,000	EOREOR
795711255237	6,000	EOREOR
795711441531	1,000	EOREOR
886661363735	0,000	EOREOR
886661363742	1,000	EOREOR
886661363759	1,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
795711441357	0,000	EOREOR
886661405169	1,000	EOREOR
795711159900	0,000	EOREOR
795711017064	0,000	EOREOR
795711128579	3,000	EOREOR
795711017118	13,000	EOREOR
795711589004	34,400	EOREOR
795711131524	1559,000	EOREOR
795711271367	3,000	EOREOR
886661002610	16,000	EOREOR
886661002634	3,000	EOREOR
886661002726	56,000	EOREOR
886661002740	1,000	EOREOR
886661002825	12,000	EOREOR
886661002894	1,000	EOREOR
886661002986	0,000	EOREOR
886661002603	3,000	EOREOR
	0,000	EOREOR
795711017194	0,000	EOREOR
795711176822	1,000	EOREOR
795711176860	1,000	EOREOR
795711176907	1,000	EOREOR
795711176914	1,000	EOREOR
795711194949	1,000	EOREOR
795711194956	0,000	EOREOR
886661002801	50,000	EOREOR
886661002818	16,000	EOREOR
886661002962	13,000	EOREOR
886661002979	4,000	EOREOR
886661002993	5,000	EOREOR
795711592943	4,000	EOREOR
795711592950	4,500	EOREOR
886661018130	2,000	EOREOR
886661018147	5,000	EOREOR
886661018154	4,000	EOREOR
886661213818	0,000	EOREOR
886661213825	2,000	EOREOR
886661213849	1,000	EOREOR
886661213894	0,000	EOREOR
886661213900	1,000	EOREOR
886661213917	4,000	EOREOR
886661352593	4,000	EOREOR
795711589233	16,000	EOREOR
795711589493	0,000	EOREOR
795711589615	20,000	EOREOR
795711593742	23,000	EOREOR
795711590192	1,000	EOREOR
795711589837	3,000	EOREOR
795711590420	28,000	EOREOR
795711589943	11,000	EOREOR
795711590468	2,000	EOREOR
795711590628	19,000	EOREOR
795711591083	19,000	EOREOR
795711589707	4,000	EOREOR
	0,000	EOREOR
	1,000	EOREOR
795711590451	0,000	EOREOR
795711907174	0,000	EOREOR
	0,000	EOREOR
795711587604	0,000	EOREOR
795711592264	8,000	EOREOR
886661361489	1,000	EOREOR
795711700027	4,000	EOREOR
886661168279	8,000	EOREOR
795711592745	19,000	EOREOR
795711587871	18,000	EOREOR
795711592486	23,000	EOREOR
795711592769	15,000	EOREOR
795711588137	5,000	EOREOR
795711587970	30,000	EOREOR
795711588601	7,000	EOREOR
795711588625	22,000	EOREOR
795711886271	7,000	EOREOR
795711588960	1,000	EOREOR
886661164806	7,000	EOREOR
795711588472	16,000	EOREOR
795711588526	20,000	EOREOR
795711592349	10,000	EOREOR
795711592356	1,000	EOREOR
795711942533	3,000	EOREOR
886661044580	20,000	EOREOR
795711592615	27,000	EOREOR
	9,000	EOREOR
795711592820	24,000	EOREOR
795711593131	6,000	EOREOR
795711593148	11,000	EOREOR
	0,000	EOREOR
795711588250	21,000	EOREOR
886661009411	1,000	EOREOR
795711587956	12,000	EOREOR
795711284206	6,000	EOREOR
160737006	0,000	EOREOR
795711701697	0,000	EOREOR
11061-2215	0,000	EOREOR
11061-2211	0,000	EOREOR
11029-0017	1,000	EOREOR
795711703394	0,000	EOREOR
110617010	0,000	EOREOR
795711944025	0,000	EOREOR
795711983949	1,000	EOREOR
795711840617	2,000	EOREOR
795711840648	2,000	EOREOR
4007429062813	1,000	EOREOR
4007429062844	1,000	EOREOR
4007429062936	1,000	EOREOR
4007429065692	1,000	EOREOR
4007429066101	0,000	EOREOR
795711841072	2,000	EOREOR
886661345045	0,000	EOREOR
886661345618	0,000	EOREOR
886661345052	1,000	EOREOR
886661345786	8,000	EOREOR
886661345793	11,000	EOREOR
886661345984	5,000	EOREOR
886661344994	6,000	EOREOR
50050133	0,000	EOREOR
50060033A	0,000	EOREOR
074000405R	0,000	EOREOR
047282759356	0,000	EOREOR
047282810859	0,000	EOREOR
047282785164	0,000	EOREOR
094600101AR	0,000	EOREOR
094600178R	0,000	EOREOR
00012966	3,000	EOREOR
886661921805	0,000	EOREOR
886661923755	1,000	EOREOR
886661439553	0,000	EOREOR
	0,000	EOREOR
886661923854	0,000	EOREOR
886661922338	0,000	EOREOR
886661923977	1,000	EOREOR
886661918898	0,000	EOREOR
886661918904	0,000	EOREOR
886661918911	0,000	EOREOR
	1,000	EOREOR
886661393329	1,000	EOREOR
886661393336	1,000	EOREOR
886661915637	0,000	EOREOR
886661915644	0,000	EOREOR
886661915651	2,000	EOREOR
886661916023	0,000	EOREOR
886661106080	0,000	EOREOR
886661106097	0,000	EOREOR
886661106103	0,000	EOREOR
886661915354	3,000	EOREOR
886661915361	5,000	EOREOR
886661915378	3,000	EOREOR
886661915743	0,000	EOREOR
886661915750	0,000	EOREOR
886661915767	0,000	EOREOR
886661915774	0,000	EOREOR
886661915828	0,000	EOREOR
886661915835	0,000	EOREOR
886661915842	0,000	EOREOR
886661915859	0,000	EOREOR
886661915873	5,000	EOREOR
886661915880	0,000	EOREOR
886661915941	1,000	EOREOR
886661915958	1,000	EOREOR
886661915965	1,000	EOREOR
886661916009	1,000	EOREOR
886661916030	0,000	EOREOR
886661916047	0,000	EOREOR
795711501297	9,000	EOREOR
	0,000	EOREOR
795711492687	0,000	EOREOR
795711022839	0,000	EOREOR
795711558789	0,000	EOREOR
886661437993	4,000	EOREOR
886661781980	0,000	EOREOR
886661869428	3,000	EOREOR
886661923069	0,000	EOREOR
886661508624	10,000	EOREOR
886661508686	4,000	EOREOR
886661356065	0,000	EOREOR
886661361229	0,000	EOREOR
886661782369	0,000	EOREOR
	0,000	EOREOR
886661937042	0,000	EOREOR
886661610501	8,000	EOREOR
795711609849	0,000	EOREOR
795711620189	3,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
886661541157	0,000	EOREOR
	0,000	EOREOR
886661213009	0,000	EOREOR
795711980832	0,000	EOREOR
886661543113	1,000	EOREOR
886661110209	6,000	EOREOR
795711402730	0,000	EOREOR
886661203598	0,000	EOREOR
	0,000	EOREOR
886661065462	1,000	EOREOR
795711451202	0,000	EOREOR
795711395742	0,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
795711196721	0,000	EOREOR
886661192922	0,000	EOREOR
886661132003	0,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
886661557264	0,000	EOREOR
	0,000	EOREOR
886661134854	0,000	EOREOR
795711252267	0,000	EOREOR
886661382859	3,000	EOREOR
886661382866	0,000	EOREOR
886661382873	2,000	EOREOR
886661131952	0,000	EOREOR
5703887124955	0,000	EOREOR
795711423728	0,000	EOREOR
795711715892	0,000	EOREOR
795711891114	0,000	EOREOR
886661220922	0,000	EOREOR
886661220939	0,000	EOREOR
886661220946	0,000	EOREOR
795711383657	0,000	EOREOR
00119160	0,000	EOREOR
795711116668	4,000	EOREOR
795711481995	10,000	EOREOR
795711481742	9,800	EOREOR
	0,000	EOREOR
795711930585	0,500	EOREOR
795711017804	1,000	EOREOR
	0,000	EOREOR
795711017835	1,000	EOREOR
795711018498	0,000	EOREOR
886661956081	6,000	EOREOR
886661766772	10,000	EOREOR
886661766789	4,000	EOREOR
	0,000	EOREOR
886661594290	4,000	EOREOR
886661562015	0,000	EOREOR
886661594245	2,000	EOREOR
886661956029	3,000	EOREOR
886661956036	1,000	EOREOR
886661957002	7,000	EOREOR
886661956043	1,000	EOREOR
886661416387	0,000	EOREOR
